Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Yeddore,01-Apr-21,35.00;55.00;1250.00;20.00,60.00;90.00;2015.00;30.00,125.00 ;190.00;4225.00;65.00,140.00 ;205.00;4610.00;70.00,200.00 ;300.00;6630.00;100.00,200.00 ;300.00;6630.00;100.00,240.00 ;365.00;8070.00;120.00,
Towards Neelmangla,01-Jul-19,20.00;35.00;670.00;NA,35.00;55.00;1115.00;NA,75.00 ;115.00;2290.00;NA,125.00 ;185.00;3685.00;NA,,,,
Talapady,01-Apr-21,40.00;65.00;1400.00;NA,65.00;95.00;2155.00;NA,130.00 ;200.00;4390.00;NA,200.00 ;300.00;6670.00;NA,200.00 ;300.00;6670.00;NA,200.00 ;300.00;6670.00;NA,260.00 ;390.00;8620.00;NA,
Shanthigrama,01-Apr-21,40.00;60.00;1325.00;NA,65.00;95.00;2140.00;NA,135.00 ;200.00;4485.00;NA,210.00 ;315.00;7035.00;NA,210.00 ;315.00;7035.00;NA,210.00 ;315.00;7035.00;NA,255.00 ;385.00;8565.00;NA,
Neelamangala - Tumkur /Kulumepalya,01-Jul-19,35.00;NA;NA;10.00,65.00;NA;NA;20.00,130.00 ;NA;NA;35.00,,,,,
Akkulam (MoRTH),01-Apr-2013          ,5.00;7.50;165.00;5.00,10.00;15.00;335.00;10.00,20.00 ;30.00;665.00;20.00,25.00 ;37.50;835.00;25.00,30.00 ;45.00;1000.00;30.00,40.00 ;60.00;1335.00;40.00,,31-Mar-14
Shirur,01-Apr-21,80.00;120.00;2615.00;40.00,125.00;190.00;4220.00;65.00,265.00 ;400.00;8845.00;135.00,290.00 ;435.00;9650.00;145.00,415.00 ;625.00;13875.00;210.00,415.00 ;625.00;13875.00;210.00,505.00 ;760.00;16890.00;255.00,
Navayuga Devanahalli / Sadahalli / Pujanahalli,01-Apr-21,95.00;145.00;3230.00;NA,150.00;225.00;4965.00;NA,300.00 ;450.00;9980.00;NA,455.00 ;680.00;15145.00;NA,455.00 ;680.00;15145.00;NA,455.00 ;680.00;15145.00;NA,590.00 ;890.00;19725.00;NA,
Shahapur,01-Apr-21,55.00;80.00;1775.00;NA,85.00;130.00;2870.00;NA,180.00 ;270.00;6015.00;NA,285.00 ;425.00;9435.00;NA,285.00 ;425.00;9435.00;NA,285.00 ;425.00;9435.00;NA,345.00 ;515.00;11485.00;NA,
Nagarhalla,01-Apr-21,95.00;145.00;3215.00;NA,150.00;225.00;5025.00;NA,310.00 ;465.00;10320.00;NA,475.00 ;715.00;15860.00;NA,475.00 ;715.00;15860.00;NA,475.00 ;715.00;15860.00;NA,605.00 ;905.00;20095.00;NA,
