Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Banskopa,01-Apr-21,75.00;110.00;2480.00;35.00,120.00;180.00;4005.00;60.00,250.00 ;380.00;8390.00;125.00,275.00 ;410.00;9150.00;135.00,395.00 ;590.00;13155.00;195.00,395.00 ;590.00;13155.00;195.00,480.00 ;720.00;16015.00;240.00,
Lacchhiwala,01-Apr-21,85.00;130.00;2915.00;45.00,140.00;210.00;4710.00;70.00,295.00 ;445.00;9870.00;150.00,325.00 ;485.00;10765.00;160.00,465.00 ;695.00;15475.00;230.00,465.00 ;695.00;15475.00;230.00,565.00 ;850.00;18840.00;285.00,
Deoria,01-Apr-21,80.00;120.00;2715.00;40.00,130.00;195.00;4385.00;65.00,275.00 ;415.00;9190.00;140.00,300.00 ;450.00;10025.00;150.00,430.00 ;650.00;14415.00;215.00,430.00 ;650.00;14415.00;215.00,525.00 ;790.00;17545.00;265.00,
Chhapar,01-Apr-21,50.00;75.00;1670.00;25.00,80.00;120.00;2695.00;40.00,170.00 ;255.00;5650.00;85.00,185.00 ;275.00;6160.00;90.00,265.00 ;400.00;8860.00;135.00,265.00 ;400.00;8860.00;135.00,325.00 ;485.00;10785.00;160.00,
Bhagwanpur,01-Apr-21,20.00;30.00;655.00;10.00,30.00;50.00;1060.00;15.00,65.00 ;100.00;2215.00;35.00,75.00 ;110.00;2420.00;35.00,105.00 ;155.00;3475.00;50.00,105.00 ;155.00;3475.00;50.00,125.00 ;190.00;4235.00;65.00,
Bahadrabad,01-Apr-21,85.00;130.00;2870.00;45.00,140.00;210.00;4640.00;70.00,290.00 ;435.00;9720.00;145.00,320.00 ;475.00;10605.00;160.00,455.00 ;685.00;15245.00;230.00,455.00 ;685.00;15245.00;230.00,555.00 ;835.00;18555.00;280.00,
Debra,01-Apr-21,65.00;100.00;2185.00;NA,105.00;160.00;3525.00;NA,220.00 ;330.00;7390.00;NA,350.00 ;520.00;11585.00;NA,350.00 ;520.00;11585.00;NA,350.00 ;520.00;11585.00;NA,425.00 ;635.00;14105.00;NA,
Chakseherdi (Gajol) Bagsarai,01-Apr-21,55.00;80.00;1785.00;NA,85.00;130.00;2885.00;NA,180.00 ;270.00;6045.00;NA,285.00 ;425.00;9480.00;NA,285.00 ;425.00;9480.00;NA,285.00 ;425.00;9480.00;NA,345.00 ;520.00;11545.00;NA,
Dankuni,01-Apr-21,90.00;135.00;2955.00;45.00,145.00;215.00;4770.00;70.00,300.00 ;450.00;9995.00;150.00,325.00 ;490.00;10905.00;165.00,470.00 ;705.00;15675.00;235.00,470.00 ;705.00;15675.00;235.00,570.00 ;860.00;19080.00;285.00,
Vighakhet,01-Apr-21,75.00;110.00;2475.00;35.00,120.00;180.00;3995.00;60.00,250.00 ;375.00;8370.00;125.00,275.00 ;410.00;9130.00;135.00,395.00 ;590.00;13125.00;195.00,395.00 ;590.00;13125.00;195.00,480.00 ;720.00;15975.00;240.00,
Umapur,01-Apr-21,40.00;60.00;1375.00;20.00,65.00;100.00;2225.00;35.00,140.00 ;210.00;4660.00;70.00,150.00 ;230.00;5085.00;75.00,220.00 ;330.00;7305.00;110.00,220.00 ;330.00;7305.00;110.00,265.00 ;400.00;8895.00;135.00,
Tundla,01-Apr-21,90.00;135.00;3015.00;45.00,145.00;220.00;4870.00;75.00,305.00 ;460.00;10205.00;155.00,335.00 ;500.00;11130.00;165.00,480.00 ;720.00;16000.00;240.00,480.00 ;720.00;16000.00;240.00,585.00 ;870.00;19480.00;290.00,
Thriyakhetal,01-Apr-21,135.00;200.00;4455.00;NA,205.00;310.00;6840.00;NA,415.00 ;620.00;13790.00;NA,630.00 ;940.00;20925.00;NA,630.00 ;940.00;20925.00;NA,630.00 ;940.00;20925.00;NA,815.00 ;1225.00;27240.00;NA,
Tendua (Gorakhpur Bypass),01-Apr-21,85.00;125.00;2795.00;40.00,135.00;205.00;4515.00;70.00,285.00 ;425.00;9455.00;140.00,310.00 ;465.00;10315.00;155.00,445.00 ;665.00;14830.00;220.00,445.00 ;665.00;14830.00;220.00,540.00 ;810.00;18055.00;270.00,
Srinagar,01-Apr-21,110.00;165.00;3695.00;NA,180.00;270.00;5970.00;NA,375.00 ;565.00;12510.00;NA,590.00 ;885.00;19620.00;NA,590.00 ;885.00;19620.00;NA,590.00 ;885.00;19620.00;NA,715.00 ;1075.00;23885.00;NA,
Usaka ( Chamari),01-Apr-21,90.00;135.00;2975.00;45.00,145.00;215.00;4805.00;70.00,300.00 ;455.00;10070.00;150.00,330.00 ;495.00;10985.00;165.00,475.00 ;710.00;15790.00;235.00,475.00 ;710.00;15790.00;235.00,575.00 ;865.00;19225.00;290.00,
