plazaCode,PlazaName,Latitude,Longitude,Issue,
15003,Chillakallu,16.8849618,80.1584904,,
18001,Vikkravandi Toll Plaza,12.0244071,79.5358547,,
19001,SENGURICHI TOLL PLAZA,11.7063128,79.3202817,,
19002,THIRUMANDURAI TOLL PLAZA,11.3968425,78.9913891,,
352026,Amakthadu toll plaza,15.48672,77.90095,,
352025,Kasepalli toll plaza,15.0617439,77.6282446,,
352024,Marur toll plaza,14.5020744,77.6290949,,
23001,Nandgaon Toll Plaza,20.9509885,77.7861523,,
25001,Karanja Toll Plaza,21.1576785,78.3858113,,
26001,Korai Toll Plaza,27.1148439,77.7138225,,
27001,Khalghat Toll Plaza,22.17379,75.456889,,
28001,Barajore toll plaza,26.3852062,80.0169233,,
28002,Anantram Toll Plaza,26.5947929,79.2658951,,
33001,Daffi Toll Plaza,25.2482991,82.9918536,,
33002,Mohania Toll Plaza,25.1882676,83.5593294,,
33003,Sasaram Toll Plaza,24.9571654,83.952775,,
34001,Raikal Toll Plaza,17.0059328,78.1921483,,
36001,Samayapuram Toll Plaza,10.9293944,78.7418085,,
39001,L&T PANIPAT,29.433485,76.97021,,
40001,Khaniwade Toll Plaza,19.5190174,72.9147882,,
42001,Vijayamangalam Toll Plaza,11.2456303,77.517477,,
44001,TASAWADE TOLL PLAZA,17.36595,74.12296,,
44002,Kini Toll Plaza,16.8766523,74.2962261,,
46001,Bijapur Toll Plaza,16.7867414,75.7374712,,
46002,Nagarhalla Toll Plaza,16.2904862,75.9214149,,
47001,Tatiawas Toll Plaza,27.089737,75.7392546,,
48001,"Sullurpet Plaza (NH- 16), (old NH-5)",13.7448372,79.9886113,,
48002,"Budhanam Plaza (NH- 16),(old NH-5)",14.0598922,79.8922773,,
48003,"Nellore Plaza (NH- 16), (old NH-5)",14.31238,79.916354,,
48004,"Keesara Plaza (NH-65), (old NH-9)",16.7180673,80.3221026,,
49001,Kaza Toll Plaza Mangalgiri,16.3853335,80.5310202,,
53001,Gondkhairi Plaza,21.1369596,78.8943213,,
54001,Patas Plaza,18.424581,74.4639978,,
54002,Sardewadi Plaza,18.096788,75.067197,,
55001,Ponnambalapatti Plaza,10.53645,78.2547556,,
56001,Kozhinjiipatti Plaza,10.194453,77.9094,,
57001,Rasampalayam Plaza,11.1938546,78.1010199,,
58001,Mettupatti Plaza,11.664932,78.3095679,,
58002,Nathakkarai Plaza,11.5926906,78.7785662,,
59001,Thiruparaithurai Plaza,10.8859194,78.5550248,,
59002,Manavasi Plaza,10.9317528,78.2160976,,
60001,Krishnagiri Plaza,12.5445891,78.1990005,,
61001,Anewadi Toll Plaza,17.8121256,73.968004,,
61002,Khed-Shivapur Toll Plaza,18.3316016,73.8506827,,
62001,Srinagar Toll Plaza,28.0043429,77.32985,,
62002,Mahuvan Toll Plaza,27.3383744,77.7347093,,
352028,Agnampadi,17.6854224,83.147762,,
78001,Indalwai,18.5383138,78.2374285,,
79001,Sakapur Toll plaza,16.53689,77.945915,,
104001,Makrauli Kalan Toll Plaza,28.9442177,76.6076301,,
104002,Dahar Toll Plaza,29.3191862,76.9162944,,
356018,Kognoli,16.5422213,74.3160443,,
116003,Devanahalli Toll Plaza,13.1935464,77.6475256,,
120002,Kadabhalli (Kirasave) Toll Plaza,12.958638,76.623691,,
125002,Choundha,26.5179725,77.9668357,,
125003,Baretha or Jajau,26.932005,77.933357,,
345055,Mehra,26.1975481,78.2385403,,
345054,Ramnagar,25.2788937,77.6122557,,
320074,Raksha,25.4617726,78.4489603,,
130001,Guna,24.620413,77.26147,,
131001,Jamli Toll Pllaza,21.75647,75.15632,,
138001,Sendurwafa toll plaza,21.0882752,80.0319608,,
139001,Shirpur,21.3197279,74.8870918,,
139002,Songir,21.0511712,74.7828556,,
140001,Chandwad toll plaza,20.3251347,74.2085373,,
140002,Laling toll plaza,20.8329196,74.7520916,,
148001,Manguli Toll Plaza,20.5401378,85.9613885,,
375013,Srirampur toll plaza,20.6788245,86.1634523,,
154001,Gharonda Toll Plaza,29.581166,76.978391,,
155001,Chandimandir Toll Plaza,30.7388538,76.8957379,,
157001,BSC-C&C Kurali Toll Plaza,30.908221,76.5434898,,
158001,Harsa Mansar Toll Plaza,32.0615791,75.6120277,,
159001,Chollang Toll Plaza,31.6249898,75.6380317,,
330095,Bassi,25.0340397,74.8153994,,
330096,Aroli,25.0910994,75.1968064,,
330097,Dhaneshwar,25.0726566,75.5962958,,
330102,Malera,24.7124027,73.0916928,,
330103,Gogunda,24.7661033,73.5218391,,
164001,Sikandra Toll Plaza,26.9444786,76.5553099,,
164002,Rajadhok Toll Plaza,26.8589547,76.1018651,,
330101,Mundiyar,25.2086571,77.1337253,,
167001,Vaniyambadi Toll Plaza,12.6484292,78.5811814,,
