Report type:,Route,,,,,,
,,,,,,,
Device:,HR02AM4455,,Distance:,654.5 km,,,
Group:,,,,,,,
Period:,2021-04-01 00:00:00 - 2021-04-30 23:59:59,,,,,,
,,,,,,,
Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes
TRUE,2021-04-20 22:43:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-20 23:08:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-20 23:33:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-20 23:58:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 00:18:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 00:48:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 01:13:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 01:38:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 02:03:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 02:28:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 02:53:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 03:18:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 03:43:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 04:03:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 04:33:00,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 04:58:23,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 05:23:22,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 05:53:22,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 06:18:22,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 06:43:22,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 07:08:22,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 07:33:22,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 07:53:22,28.629307,77.301135,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51603.94  ignition=false  batteryLevel=100
TRUE,2021-04-21 08:25:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=16.81999999999971  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 08:50:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 09:15:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 09:40:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 10:05:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 10:30:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 10:55:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 11:20:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 11:45:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 12:10:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 12:35:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 13:00:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 13:10:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 13:10:12,28.629380,77.301286,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51620.76  ignition=false  batteryLevel=100
TRUE,2021-04-21 14:19:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=17.400000000001455  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 14:44:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 15:09:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 15:34:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 15:59:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 16:24:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 16:49:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 17:09:12,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 17:38:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 18:08:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 18:33:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 18:58:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 19:23:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 19:48:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 20:13:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 20:38:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=51638.16  ignition=false  batteryLevel=100
TRUE,2021-04-21 20:43:02,28.629231,77.301233,0 m,0.0 km/h,"7-507, Joshi Colony, Mandawali, New Delhi, Delhi 110092, India",hours=10331531  charge=true  motion=false  blocked=false  distance=0.0  alarm=parking  totalDistance=51638.16  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:46:32,28.629032,77.300862,0 m,10.0 km/h,"Indraprastha Extension, I.P.Extension, Patparganj, Delhi, 110092, India",hours=10384703  charge=true  motion=true  blocked=false  distance=42.44999999999709  alarm=parking  totalDistance=51680.61  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:46:40,28.628979,77.300539,0 m,13.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, New Delhi, Delhi 110092, India",hours=10389442  charge=true  motion=true  blocked=false  distance=32.12999999999738  alarm=parking  totalDistance=51712.74  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:46:54,28.628808,77.300309,0 m,13.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, New Delhi, Delhi 110092, India",hours=10403445  charge=true  motion=true  blocked=false  distance=29.42000000000553  alarm=parking  totalDistance=51742.16  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:47:05,28.628498,77.300624,0 m,18.0 km/h,"Indraprastha Extension, I.P.Extension, Patparganj, Delhi, 110092, India",hours=10415204  charge=true  motion=true  blocked=false  distance=46.2899999999936  alarm=parking  totalDistance=51788.45  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:47:22,28.628036,77.301491,0 m,10.0 km/h,"Madhu Vihar Rd, Chander Vihar, Mandawali, New Delhi, Delhi 110092, India",hours=10433358  charge=true  motion=true  blocked=false  distance=99.04000000000087  alarm=parking  totalDistance=51887.49  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:47:42,28.627852,77.301737,0 m,0.0 km/h,"B-48, Mandawali Main Rd, Joshi Colony, I.P.Extension, Joshi Colony, New Delhi, Delhi 110092, India",hours=10451636  charge=true  motion=false  blocked=false  distance=31.62000000000262  alarm=parking  totalDistance=51919.11  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:47:51,28.627914,77.301990,0 m,13.0 km/h,"B-48, Mandawali Main Rd, Joshi Colony, I.P.Extension, Joshi Colony, New Delhi, Delhi 110092, India",hours=10460714  charge=true  motion=true  blocked=false  distance=25.650000000001455  alarm=parking  totalDistance=51944.76  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:48:02,28.628054,77.302362,0 m,12.0 km/h,"B-48, Mandawali Main Rd, Joshi Colony, I.P.Extension, Joshi Colony, New Delhi, Delhi 110092, India",hours=10472006  charge=true  motion=true  blocked=false  distance=39.56999999999971  alarm=parking  totalDistance=51984.33  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:48:07,28.627877,77.302529,0 m,18.0 km/h,"B-48, Mandawali Main Rd, Joshi Colony, I.P.Extension, Joshi Colony, New Delhi, Delhi 110092, India",hours=10476512  charge=true  motion=true  blocked=false  distance=25.56999999999971  alarm=parking  totalDistance=52009.9  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:48:13,28.627888,77.302892,0 m,30.0 km/h,"B-48, Mandawali Main Rd, Joshi Colony, I.P.Extension, Joshi Colony, New Delhi, Delhi 110092, India",hours=10482499  charge=true  motion=true  blocked=false  distance=35.470000000001164  alarm=parking  totalDistance=52045.37  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:48:18,28.628062,77.303369,0 m,42.0 km/h,"B-48, Mandawali Main Rd, Joshi Colony, I.P.Extension, Joshi Colony, New Delhi, Delhi 110092, India",hours=10487471  charge=true  motion=true  blocked=false  distance=50.40999999999622  alarm=parking  totalDistance=52095.78  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:48:32,28.628511,77.304677,0 m,27.0 km/h,"13, Mandawali Main Rd, I.P.Extension, Patparganj, ?? ??????, Delhi 110092, India",hours=10502795  charge=true  motion=true  blocked=false  distance=137.27999999999884  totalDistance=52233.06  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:48:42,28.628627,77.305127,0 m,0.0 km/h,"13, Mandawali Main Rd, I.P.Extension, Patparganj, ?? ??????, Delhi 110092, India",hours=10516337  charge=true  motion=false  blocked=false  distance=45.81  alarm=parking  totalDistance=52278.87  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:48:48,28.628421,77.305267,0 m,17.0 km/h,"43, A Block, I.P.Extension, Patparganj, Delhi, 110092, India",hours=10517497  charge=true  motion=true  blocked=false  distance=26.68000000000029  alarm=parking  totalDistance=52305.55  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:49:32,28.625788,77.306687,0 m,18.0 km/h,"40, Narwana Rd, I.P.Extension, West Vinod Nagar, Delhi, 110092, India",hours=10561758  charge=true  motion=true  blocked=false  distance=326.7199999999939  totalDistance=52632.27  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:49:36,28.625961,77.307012,0 m,15.0 km/h,"40, Narwana Rd, I.P.Extension, West Vinod Nagar, Delhi, 110092, India",hours=10626890  charge=true  motion=true  blocked=false  distance=37.13  alarm=parking  totalDistance=52669.4  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:49:41,28.626143,77.307513,0 m,28.0 km/h,"Narwana Rd, I.P.Extension, West Vinod Nagar, Delhi, 110092, India",hours=10627035  charge=true  motion=true  blocked=false  distance=53.029999999998836  alarm=parking  totalDistance=52722.43  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:49:48,28.626242,77.307914,0 m,15.0 km/h,"40, Narwana Rd, I.P.Extension, West Vinod Nagar, Delhi, 110092, India",hours=10627036  charge=true  motion=true  blocked=false  distance=40.65999999999622  totalDistance=52763.09  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:50:12,28.625122,77.308624,0 m,24.0 km/h,"Narwana Rd, I.P.Extension, West Vinod Nagar, Delhi, 110092, India",hours=10628808  charge=true  motion=true  blocked=false  distance=142.63  alarm=parking  totalDistance=52905.72  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:50:18,28.624900,77.308839,0 m,14.0 km/h,"Gurjar Samrat Mihir Bhoj Marg, I.P.Extension, West Vinod Nagar, Delhi, 110092, India",hours=10628811  charge=true  motion=true  blocked=false  distance=32.44999999999709  alarm=parking  totalDistance=52938.17  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:50:23,28.625003,77.309246,0 m,26.0 km/h,"Gurjar Samrat Mihir Bhoj Marg, I.P.Extension, West Vinod Nagar, Delhi, 110092, India",hours=10628812  charge=true  motion=true  blocked=false  distance=41.349999999998545  alarm=parking  totalDistance=52979.52  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:52:52,28.631780,77.330509,0 m,56.0 km/h,"NH 24, Ghazipur Village, Gazipur, Delhi, 201012, India",hours=10777919  charge=true  motion=true  blocked=false  distance=2211.2400000000052  alarm=parking  totalDistance=55190.76  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:53:12,28.632562,77.333312,0 m,53.0 km/h,"NH 24, Tirupati Complex, Sector-1, Vaishali, Ghaziabad, Delhi 201012, India",hours=10799446  charge=true  motion=true  blocked=false  distance=287.54999999999563  totalDistance=55478.31  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:53:22,28.632640,77.334922,0 m,60.0 km/h,"NE 3, Tirupati Complex, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh 201012, India",hours=10799446  charge=true  motion=true  blocked=false  distance=157.6  alarm=parking  totalDistance=55635.91  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:55:52,28.632504,77.358340,0 m,50.0 km/h,"NH 24, Block - AM, Amrapali, Nyay Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India",hours=10941742  charge=true  motion=true  blocked=false  distance=2288.409999999996  alarm=parking  totalDistance=57924.32  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:58:32,28.632408,77.380384,0 m,55.0 km/h,"NH 24, D Block, Indirapuram, Ghaziabad, Uttar Pradesh 201307, India",hours=11101907  charge=true  motion=true  blocked=false  distance=2154.1500000000015  alarm=parking  totalDistance=60078.47  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:58:42,28.632546,77.381995,0 m,57.0 km/h,"NH 24, Indirapuram, Ghaziabad, Uttar Pradesh 201307, India",hours=11111766  charge=true  motion=true  blocked=false  distance=158.11000000000058  totalDistance=60236.58  ignition=true  batteryLevel=100
TRUE,2021-04-21 20:58:52,28.632857,77.383647,0 m,59.0 km/h,"NH 24, D Block, Indirapuram, Ghaziabad, Uttar Pradesh 201307, India",hours=11121809  charge=true  motion=true  blocked=false  distance=165.09  alarm=parking  totalDistance=60401.67  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:01:22,28.639262,77.403939,0 m,44.0 km/h,"NH 24, Rahul Vihar, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11272931  charge=true  motion=true  blocked=false  distance=2107.0999999999985  alarm=parking  totalDistance=62508.77  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:02:42,28.641447,77.411875,0 m,54.0 km/h,"NH 24, Rahul Vihar 2nd, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11351934  charge=true  motion=true  blocked=false  distance=813.8800000000047  totalDistance=63322.65  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:02:52,28.641596,77.413252,0 m,41.0 km/h,"Futta Road, Siddhartha Vihar, Christian Nagar, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11361972  charge=true  motion=true  blocked=false  distance=135.58  alarm=parking  totalDistance=63458.23  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:03:22,28.641600,77.416094,0 m,13.0 km/h,"Unnamed Road, Chowdary Charan Singh Colony, Sarvodaya Nagar, Pratap Vihar, Ghaziabad, Uttar Pradesh 201009, India",hours=11392178  charge=true  motion=true  blocked=false  distance=277.7299999999959  totalDistance=63735.96  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:03:42,28.641157,77.416021,0 m,14.0 km/h,"Unnamed Road, Chowdary Charan Singh Colony, Sarvodaya Nagar, Pratap Vihar, Ghaziabad, Uttar Pradesh 201009, India",hours=11412353  charge=true  motion=true  blocked=false  distance=49.8  alarm=parking  totalDistance=63785.76  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:03:49,28.641049,77.415486,0 m,30.0 km/h,"Unnamed Road, Chowdary Charan Singh Colony, Sarvodaya Nagar, Pratap Vihar, Ghaziabad, Uttar Pradesh 201009, India",hours=11418609  charge=true  motion=true  blocked=false  distance=53.63999999999942  alarm=parking  totalDistance=63839.4  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:04:02,28.641005,77.413976,0 m,42.0 km/h,"Futta Road, Siddhartha Vihar, Christian Nagar, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11433290  charge=true  motion=true  blocked=false  distance=147.61000000000058  alarm=parking  totalDistance=63987.01  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:04:22,28.640721,77.411571,0 m,38.0 km/h,"NH 24, Rahul Vihar 2nd, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11452150  charge=true  motion=true  blocked=false  distance=237.27999999999884  totalDistance=64224.29  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:04:29,28.640554,77.411036,0 m,22.0 km/h,"NH 24, Rahul Vihar 2nd, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11458593  charge=true  motion=true  blocked=false  distance=55.41  alarm=parking  totalDistance=64279.7  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:04:34,28.640246,77.410989,0 m,25.0 km/h,"Gaur City Road, Krishna Vihar, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11463574  charge=true  motion=true  blocked=false  distance=34.62000000000262  alarm=parking  totalDistance=64314.32  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:05:52,28.631480,77.412954,0 m,49.0 km/h,"Gaur City Road, Christian Nagar, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11550886  charge=true  motion=true  blocked=false  distance=995.4700000000012  totalDistance=65309.79  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:06:05,28.630523,77.413329,0 m,18.0 km/h,"Gaur City Road, Christian Nagar, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11554484  charge=true  motion=true  blocked=false  distance=112.64  alarm=parking  totalDistance=65422.43  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:06:11,28.630213,77.413500,0 m,24.0 km/h,"Gaur City Road, G B Nagar, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11560746  charge=true  motion=true  blocked=false  distance=38.37999999999738  alarm=parking  totalDistance=65460.81  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:07:42,28.619259,77.417223,0 m,33.0 km/h,"Gaur City Road, Rani Laxmibai Nagar, Yusufpur, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11652711  charge=true  motion=true  blocked=false  distance=1277.729999999996  totalDistance=66738.54  ignition=true  batteryLevel=100
TRUE,2021-04-21 21:07:48,28.619007,77.417413,0 m,8.0 km/h,"Gaur City Road, Rani Laxmibai Nagar, Yusufpur, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009, India",hours=11658719  charge=true  motion=true  blocked=false  distance=33.63  alarm=parking  totalDistance=66772.17  ignition=true  batteryLevel=100
