Report type:,Route,,,,,,
,,,,,,,
Device:,HR02AM4455,,Distance:,654.5 km,,,
Group:,,,,,,,
Period:,2021-04-01 00:00:00 - 2021-04-30 23:59:59,,,,,,
,,,,,,,
Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes
TRUE,2021-04-13 17:19:35,28.666884,77.345590,0 m,39.0 km/h,"Link Road, Karkar Mandan Village, Sahibabad Industrial Area Site 4, Ghaziabad, Ghaziabad, Uttar Pradesh 201010, India",hours=381223  charge=true  motion=true  blocked=false  distance=453.20000000000005  alarm=parking  totalDistance=1811.44  ignition=true  batteryLevel=50
TRUE,2021-04-13 17:21:05,28.669538,77.352773,0 m,34.0 km/h,"Saur Urja Marg, Gamma 2, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=471169  charge=true  motion=true  blocked=false  distance=761.69  totalDistance=2573.13  ignition=true  batteryLevel=50
TRUE,2021-04-13 17:21:15,28.669636,77.353182,0 m,0.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=481474  charge=true  motion=false  blocked=false  distance=41.41  alarm=parking  totalDistance=2614.54  ignition=true  batteryLevel=50
TRUE,2021-04-13 17:21:35,28.669486,77.352943,0 m,10.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=501282  charge=true  motion=true  blocked=false  distance=28.730000000000018  alarm=parking  totalDistance=2643.27  ignition=true  batteryLevel=50
TRUE,2021-04-13 17:24:15,28.669408,77.352841,0 m,0.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=651872  charge=true  motion=false  blocked=false  distance=13.170000000000073  totalDistance=2656.44  ignition=false  batteryLevel=66
TRUE,2021-04-13 17:25:55,28.669408,77.352841,0 m,0.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=651872  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=2656.44  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:28:05,28.669408,77.352841,0 m,0.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=651872  charge=true  motion=false  blocked=false  distance=0.0  alarm=parking  totalDistance=2656.44  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:29:25,28.669314,77.352449,0 m,18.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=731043  charge=true  motion=true  blocked=false  distance=39.659999999999854  alarm=parking  totalDistance=2696.1  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:30:55,28.666202,77.344531,0 m,38.0 km/h,"54/18, Saur Urja Marg, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=822121  charge=true  motion=true  blocked=false  distance=848.19  totalDistance=3544.29  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:31:05,28.665701,77.343528,0 m,42.0 km/h,"16/1 A-1/3, Saur Urja Marg, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=832704  charge=true  motion=true  blocked=false  distance=112.7  alarm=parking  totalDistance=3656.99  ignition=true  batteryLevel=66
